year,fips,state,region,population_est,anxiety_ct,trauma_stress_ct,adhd_ct,bipolar_ct,depression_ct,comm_psych_care,outpatient_util,state_psych_care,private_psych_care,resid_psych_care,total_inpatient,inpatient_util,total_civilian,total_util,median_adhd,median_ptsd,median_anxiety,median_bipolar,median_depression,median_mental_hospital,median_psychiatrists_near_me,median_psychologist_near_me,median_therapist_near_me,median_all_trends,mean_adhd,mean_ptsd,mean_anxiety,mean_bipolar,mean_depression,mean_mental_hospital,mean_psychiatrists_near_me,mean_psychologist_near_me,mean_therapist_near_me,mean_all_trends,total_facilities,mental_health_only,inpatient_facilities,pct_pharmacotherapy,pct_free_services,pct_medicare_services,pct_youth_services,pct_counseling_services,per_capita_total_facilities,per_capita_mental_health_only,per_capita_inpatient_facilities
2014,6,CA,West Pacific,38586706,75241,107719,52181,113619,196768,735047,0.019049229027219894,1384160,1367225,1385560,4136945,0.10721166507449482,4871992,0.126260894,19,10,54,20,64.5,41.5,0,0,0,19,18.5,9.833333333,53.83333333,19.83333333,62.75,41.66666667,0,0.333333333,0.333333333,23.00925925877778,,,,,,,,,,,
2014,8,CO,West Pacific,5352637,19844,29460,10244,25165,33297,118795,0.022193734,227652,229440,227157,684249,0.12783400032544706,803044,0.150027734,19.5,12,53,22,64,38,0,0,0,19.5,18.66666667,12.33333333,52.33333333,21.83333333,62.5,38.66666667,0,0,0,22.925925925555557,,,,,,,,,,,
2014,9,CT,Atlantic,3595697,11692,19624,10146,16189,24319,92601,0.025753282326069188,181790,182517,181504,545811,0.151795605,638412,0.177548887,22.5,11.5,57.5,21.5,64,38,0,0,0,21.5,22.16666667,11.5,56.75,21.58333333,64.5,38.58333333,0,0,0,23.89814814777778,,,,,,,,,,,
2014,10,DE,Atlantic,933131,947,1803,1117,2221,2245,10486,0.011237436115615064,19608,18787,19896,58291,0.062468185067262795,68777,0.073705621,21.5,11,59,23,72,0,0,0,0,11,23,11.08333333,57.33333333,23.25,67.83333333,0,0,0,0,20.277777776666667,,,,,,,,,,,
2014,11,DC,Atlantic,663603,786,2104,1378,3879,10107,26476,0.039897348,49381,48741,50076,148198,0.22332328214308855,174674,0.26322063,21.5,11,50,21,55,31,0,0,0,21,20.5,11.5,52.58333333,21.08333333,54.25,29.08333333,0,0,0,20.99999999888889,,,,,,,,,,,
2014,12,FL,South,19853880,9593,18589,12187,38727,49239,239563,0.012066306434812742,461879,463159,458852,1383890,0.069703756,1623453,0.081770062,20.5,9.5,51.5,22,53.5,31,0,0,0,20.5,20.91666667,9.75,51.33333333,22.5,54.41666667,30.5,0,0,0.25,21.074074074444443,,,,,,,,,,,
2014,15,HI,West Pacific,1415335,567,2853,639,1844,3265,12745,0.009004935,24698,25025,25041,74764,0.052824243,87509,0.061829178,20,13.5,56.5,20,65,0,0,0,0,13.5,20.91666667,13.08333333,54.91666667,19.91666667,64.91666667,13.75,0,0,0,20.833333334444447,,,,,,,,,,,
2014,16,ID,West Pacific,1632248,384,419,232,1491,1079,14730,0.009024364,26509,26338,28107,80954,0.04959663,95684,0.058620994,22,14,55,22,76.5,56.5,0,0,0,22,21.25,13.58333333,55.25,21.33333333,76.25,44.08333333,0,0,0,25.74999999888889,,,,,,,,,,,
2014,17,IL,Central,12885092,25779,22577,17847,32901,48326,146254,0.011350636844502158,272843,279397,279395,831635,0.064542418,977889,0.075893055,19.5,8,51.5,20.5,60.5,42,0,0,0,19.5,19.83333333,8.416666667,51.91666667,20.91666667,58.66666667,43.08333333,0,0.416666667,0.666666667,22.657407407888886,,,,,,,,,,,
2014,18,IN,Central,6596019,27858,24457,25442,19326,44754,129890,0.019692180995840067,257136,257091,256505,770732,0.11684805638067447,900622,0.136540237,22,9.5,54,21.5,71,35.5,0,0,0,21.5,22,10.16666667,53,21.5,68.66666667,35.83333333,0,0,0,23.462962963333332,,,,,,,,,,,
2014,19,IA,Central,3110643,14441,24162,19261,12349,22277,111852,0.035957838941980805,221663,215516,221502,658681,0.2117507537830603,770533,0.247708593,25,10.5,55.5,20.5,72,35.5,0,0,0,20.5,23.83333333,10.58333333,55.83333333,21.08333333,71.75,37.58333333,0,0,0,24.51851851666667,,,,,,,,,,,
2014,20,KS,Central,2901861,9753,8452,8844,11272,14109,82609,0.028467593726922136,158593,160910,161492,480995,0.16575397649990817,563604,0.19422157,21,10.5,50.5,21.5,62,33.5,0,0,0,21,21.16666667,10.58333333,50.66666667,21.66666667,62.33333333,32.5,0,0,0,22.10185185222222,,,,,,,,,,,
2014,21,KY,Central,4416992,33196,29448,23676,30497,46679,159889,0.036198617,309661,316172,316170,942003,0.2132679887126805,1101892,0.249466605,21,10,54,22,60.5,33.5,0,0,0,21,20.75,9.75,53.41666667,21.33333333,59.58333333,34.33333333,0,0,0,22.129629628888893,,,,,,,,,,,
2014,22,LA,South,4645938,3666,2215,3937,10581,16919,46779,0.010068795580139038,89078,90746,90745,270569,0.058237755,317348,0.068306551,23,9,51.5,22,59.5,47.5,0,0,0,22,22.83333333,9.083333333,51.58333333,22.08333333,56.91666667,51.91666667,0,0,1.916666667,24.037037036666664,,,,,,,,,,,
2014,25,MA,Atlantic,6764864,3222,5853,1996,8127,6124,32661,0.004828035,62425,63736,63947,190108,0.028102264879234822,222769,0.0329303,20.5,11,58,22,62,55,0,0,0,20.5,20.91666667,10.91666667,58,21.25,62.16666667,54.25,0,0,0.583333333,25.34259259366667,,,,,,,,,,,
2014,27,MN,Central,5452665,62535,57725,31729,29563,85363,206694,0.037906968,409927,392692,408866,1211485,0.222182181,1418179,0.260089149,21.5,9.5,58,20.5,69.5,54.5,0,0,0,20.5,20.83333333,9.75,57.33333333,20.25,66,53.91666667,0,0,0,25.342592592222225,,,,,,,,,,,
2014,28,MS,South,2991892,3824,5331,7360,6381,12215,88022,0.029420179605413564,169131,171924,171919,512974,0.1714547182852857,600996,0.200874898,26,9.5,53.5,25.5,65.5,37.5,0,0,0,25.5,26.66666667,9.833333333,54.58333333,25.08333333,65.83333333,36.91666667,0,0,0,24.324074073666665,,,,,,,,,,,
2014,29,MO,Central,6059130,5315,7038,6199,19402,23185,75939,0.012532987409083483,147829,149332,149174,446335,0.073663216,522274,0.086196203,22.5,11,53,22.5,66.5,41,0,0,0,22.5,22.33333333,11.16666667,53.75,22.25,65.66666667,39.58333333,0,0,0,23.86111111111111,,,,,,,,,,,
2014,30,MT,West Pacific,1022657,8034,9068,5146,6909,13401,44343,0.043360579,86725,83046,86901,256672,0.250985423,301015,0.294346003,22.5,15,55,24,75.5,0,0,0,0,15,21.41666667,15.25,56.08333333,22.83333333,71.91666667,7.416666667,0,0,0,21.657407407444442,,,,,,,,,,,
2014,31,NE,Central,1879955,3663,4658,1496,5990,7204,24545,0.013056163578383526,44689,42221,45037,131947,0.070186254,156492,0.083242418,22,11.5,56,23,70.5,44.5,0,0,0,22,23.66666667,11.66666667,56.91666667,23,69.33333333,35.33333333,2.75,0,0,24.740740741111114,,,,,,,,,,,
2014,32,NV,West Pacific,2818935,4854,3799,980,7548,8637,32983,0.011700518103468154,56280,60715,60579,177574,0.062993294,210557,0.074693812,20,11.5,57,22,67,48.5,0,0,0,20,19.5,11.41666667,56.66666667,22.16666667,64.66666667,46.25,0,0,0,24.51851852,,,,,,,,,,,
2014,34,NJ,Atlantic,8867277,27198,44846,16732,28886,66942,341856,0.038552534,646261,638148,645121,1929530,0.21760118692581726,2271386,0.256153721,21,8.5,59,23,71,27.5,0,0,0,21,21.33333333,8.666666667,58.91666667,23.08333333,68.83333333,28.66666667,0,0.416666667,0,23.324074073777776,,,,,,,,,,,
2014,35,NM,West Pacific,2090236,12226,26660,8356,11831,19594,94392,0.045158537,185764,185028,185857,556649,0.26630916317583275,651041,0.3114677,20,18.5,57.5,24.5,75.5,37.5,0,0,0,20,20.58333333,18.58333333,60.16666667,23.5,73.41666667,33.91666667,0,0,0,25.574074074444443,,,,,,,,,,,
2014,36,NY,Atlantic,19653431,5119,8056,3372,10873,10365,60213,0.00306374,97037,107010,107010,311057,0.015827109,371270,0.018890849,20.5,8.5,56,22,63.5,41.5,0,0,0,20.5,20.16666667,8.666666667,55.58333333,22.16666667,62.66666667,41.33333333,0.25,0,0.166666667,23.444444444888887,,,,,,,,,,,
2014,37,NC,South,9937295,37787,38933,28522,59966,77060,221096,0.022249113063464453,436019,438568,438865,1313452,0.1321739970484926,1534548,0.15442311,23,12,55,22,67.5,32,0,0,0,22,23.33333333,12.5,55.33333333,22.66666667,66,32.5,0,0.5,0,23.64814814777778,,,,,,,,,,,
2014,38,ND,Central,738736,4297,2109,1883,1991,4849,14533,0.019672792445474433,28620,26171,28983,83774,0.11340181066037124,98307,0.133074603,20,8,55.5,18.5,67.5,0,0,0,0,8,19.25,7.916666667,55.5,18.33333333,65.66666667,0,6.833333333,0,0,19.277777777777782,,,,,,,,,,,
2014,39,OH,Central,11606573,32596,58688,40267,54189,86024,375113,0.032319014,739386,745924,743452,2228762,0.19202584604430611,2603875,0.22434486,20.5,9,55,20,63.5,37.5,0,0,0,20,21.25,9.416666667,54.83333333,20.16666667,64.08333333,36.58333333,0,0,0,22.92592592522222,,,,,,,,,,,
2014,40,OK,South,3879187,11748,11675,3716,17031,26553,81394,0.020982232,158077,156309,159006,473392,0.12203381791081482,554786,0.143016049,22,10.5,54.5,22.5,61,43,0,0,0,22,21.41666667,10.91666667,54.25,22.33333333,61.83333333,41.25,0,0,0,23.555555555555557,,,,,,,,,,,
2014,41,OR,West Pacific,3965447,13454,29199,12416,6537,20077,122128,0.030798041179216366,239626,235622,238227,713475,0.17992296959207876,835603,0.210721011,11.5,7,34,14,36.5,30.5,0,0,0,11.5,12.66666667,7.916666667,33.83333333,14.41666667,38.75,29.33333333,0.583333333,0.583333333,0,15.342592592555556,,,,,,,,,,,
2014,42,PA,Atlantic,12792392,38721,52586,59025,70717,112626,616625,0.048202478,1228989,1231139,1231138,3691266,0.2885516641453764,4307891,0.336754143,20,10,55.5,20.5,62,36,0,0,0,20,20.16666667,9.916666667,56.41666667,20.5,60.66666667,35.66666667,0,0.416666667,0,22.638888890444445,,,,,,,,,,,
